,cve.id,cve.sourceIdentifier,cve.published,cve.lastModified,cve.vulnStatus,cve.references,cve.cisaExploitAdd,cve.cisaActionDue,cve.cisaRequiredAction,cve.cisaVulnerabilityName,description,vulnerable_cpes,num_references,cwe_list,cvss_version,cvss_vectorString,cvss_baseScore,cvss_baseSeverity,cvss_attackVector,cvss_attackComplexity,cvss_privilegesRequired,cvss_userInteraction,cvss_scope,cvss_confidentialityImpact,cvss_integrityImpact,cvss_availabilityImpact,cve,epss,percentile
15,CVE-2025-9760,cna@vuldb.com,2025-09-01 05:15:41.997,2025-09-27 00:28:31.297,Analyzed,"[{'url': 'https://github.com/marcelomulder/CVE/blob/main/i-educar/Broken%20Function%20Level%20Authorization%20on%20%60matricula%60%20API%20allows%20deletion%20of%20%E2%80%9Cabandono%E2%80%9D%20status.md#proof-of-concept-poc', 'source': 'cna@vuldb.com', 'tags': ['Broken Link']}, {'url': 'https://github.com/marcelomulder/CVE/blob/main/i-educar/CVE-2025-9760.md', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://vuldb.com/?ctiid.322061', 'source': 'cna@vuldb.com', 'tags': ['Permissions Required', 'VDB Entry']}, {'url': 'https://vuldb.com/?id.322061', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.640690', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.643575', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.648827', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://github.com/marcelomulder/CVE/blob/main/i-educar/CVE-2025-9760.md', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit', 'Third Party Advisory']}]",,,,,A weakness has been identified in Portabilis i-Educar up to 2.10. This affects an unknown part of the file /module/Api/matricula of the component Matricula API. Executing manipulation can lead to improper authorization. It is possible to launch the attack remotely. The exploit has been made available to the public and could be exploited.,['cpe:2.3:a:portabilis:i-educar:*:*:*:*:*:*:*:*'],8,"['CWE-266', 'CWE-285']",3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.8,HIGH,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-9760,0.00048,0.14565
46,CVE-2025-9778,cna@vuldb.com,2025-09-01 12:15:32.180,2025-09-04 16:19:21.700,Analyzed,"[{'url': 'https://github.com/August829/Yu/blob/main/58ead8e7e08bfb0e8.md', 'source': 'cna@vuldb.com', 'tags': ['Not Applicable']}, {'url': 'https://github.com/August829/Yu/blob/main/58ead8e7e08bfb0e8.md#steps-to-reproduce', 'source': 'cna@vuldb.com', 'tags': ['Not Applicable']}, {'url': 'https://vuldb.com/?ctiid.322080', 'source': 'cna@vuldb.com', 'tags': ['Permissions Required', 'VDB Entry']}, {'url': 'https://vuldb.com/?id.322080', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.640969', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://www.tenda.com.cn/', 'source': 'cna@vuldb.com', 'tags': ['Product']}, {'url': 'https://github.com/August829/Yu/blob/main/58ead8e7e08bfb0e8.md', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Not Applicable']}, {'url': 'https://github.com/August829/Yu/blob/main/58ead8e7e08bfb0e8.md#steps-to-reproduce', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Not Applicable']}]",,,,,A security vulnerability has been detected in Tenda W12 up to 3.0.0.6(3948). Affected is an unknown function of the file /etc_ro/shadow of the component Administrative Interface. The manipulation leads to hard-coded credentials. An attack has to be approached locally. The complexity of an attack is rather high. The exploitability is told to be difficult. The exploit has been disclosed publicly and may be used.,['cpe:2.3:o:tenda:w12_firmware:3.0.0.6\\(3948\\):*:*:*:*:*:*:*'],8,"['CWE-259', 'CWE-798', 'CWE-798']",3.1,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,7.0,HIGH,LOCAL,HIGH,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-9778,0.00011,0.00981
901,CVE-2025-9566,secalert@redhat.com,2025-09-05 20:15:36.727,2025-09-23 22:15:34.537,Awaiting Analysis,"[{'url': 'https://access.redhat.com/errata/RHSA-2025:15900', 'source': 'secalert@redhat.com'}, {'url': 'https://access.redhat.com/errata/RHSA-2025:15901', 'source': 'secalert@redhat.com'}, {'url': 'https://access.redhat.com/errata/RHSA-2025:15904', 'source': 'secalert@redhat.com'}, {'url': 'https://access.redhat.com/errata/RHSA-2025:16480', 'source': 'secalert@redhat.com'}, {'url': 'https://access.redhat.com/errata/RHSA-2025:16481', 'source': 'secalert@redhat.com'}, {'url': 'https://access.redhat.com/errata/RHSA-2025:16482', 'source': 'secalert@redhat.com'}, {'url': 'https://access.redhat.com/errata/RHSA-2025:16488', 'source': 'secalert@redhat.com'}, {'url': 'https://access.redhat.com/errata/RHSA-2025:16515', 'source': 'secalert@redhat.com'}, {'url': 'https://access.redhat.com/security/cve/CVE-2025-9566', 'source': 'secalert@redhat.com'}, {'url': 'https://bugzilla.redhat.com/show_bug.cgi?id=2393152', 'source': 'secalert@redhat.com'}]",,,,,"There's a vulnerability in podman where an attacker may use the kube play command to overwrite host files when the kube file container a Secrete or a ConfigMap volume mount and such volume contains a symbolic link to a host file path. In a successful attack, the attacker can only control the target file to be overwritten but not the content to be written into the file.

Binary-Affected: podman
Upstream-version-introduced: v4.0.0
Upstream-version-fixed: v5.6.1",[],10,['CWE-22'],3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:H,8.1,HIGH,NETWORK,LOW,LOW,NONE,UNCHANGED,NONE,HIGH,HIGH,CVE-2025-9566,0.00114,0.30879
2619,CVE-2025-10608,cna@vuldb.com,2025-09-17 19:15:46.110,2025-09-18 20:21:44.237,Analyzed,"[{'url': 'https://github.com/marcelomulder/CVE/blob/main/i-educar/Broken%20Access%20Control%20Vulnerability%20%20in%20%60.enrollment-history.(ID)%60%20Endpoint.md', 'source': 'cna@vuldb.com', 'tags': ['Broken Link']}, {'url': 'https://github.com/marcelomulder/CVE/blob/main/i-educar/CVE-2025-10608.md', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://vuldb.com/?ctiid.324628', 'source': 'cna@vuldb.com', 'tags': ['Permissions Required', 'VDB Entry']}, {'url': 'https://vuldb.com/?id.324628', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.649876', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://github.com/marcelomulder/CVE/blob/main/i-educar/CVE-2025-10608.md', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://vuldb.com/?submit.649876', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Third Party Advisory', 'VDB Entry']}]",,,,,A vulnerability was detected in Portabilis i-Educar up to 2.10. The affected element is an unknown function of the file /enrollment-history/. Performing manipulation results in improper access controls. The attack is possible to be carried out remotely. The exploit is now public and may be used.,['cpe:2.3:a:portabilis:i-educar:*:*:*:*:*:*:*:*'],7,"['CWE-266', 'CWE-284']",3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.8,HIGH,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-10608,0.00036,0.09645
3540,CVE-2025-9900,secalert@redhat.com,2025-09-23 17:15:38.357,2025-10-13 02:15:34.853,Awaiting Analysis,"[{'url': 'https://access.redhat.com/errata/RHSA-2025:17651', 'source': 'secalert@redhat.com'}, {'url': 'https://access.redhat.com/errata/RHSA-2025:17675', 'source': 'secalert@redhat.com'}, {'url': 'https://access.redhat.com/errata/RHSA-2025:17710', 'source': 'secalert@redhat.com'}, {'url': 'https://access.redhat.com/errata/RHSA-2025:17738', 'source': 'secalert@redhat.com'}, {'url': 'https://access.redhat.com/errata/RHSA-2025:17739', 'source': 'secalert@redhat.com'}, {'url': 'https://access.redhat.com/errata/RHSA-2025:17740', 'source': 'secalert@redhat.com'}, {'url': 'https://access.redhat.com/security/cve/CVE-2025-9900', 'source': 'secalert@redhat.com'}, {'url': 'https://bugzilla.redhat.com/show_bug.cgi?id=2392784', 'source': 'secalert@redhat.com'}, {'url': 'https://github.com/SexyShoelessGodofWar/LibTiff-4.7.0-Write-What-Where?tab=readme-ov-file', 'source': 'secalert@redhat.com'}, {'url': 'https://github.com/SexyShoelessGodofWar/LibTiff-4.7.0-Write-What-Where?tab=readme-ov-file', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0'}]",,,,,"A flaw was found in Libtiff. This vulnerability is a ""write-what-where"" condition, triggered when the library processes a specially crafted TIFF image file.

By providing an abnormally large image height value in the file's metadata, an attacker can trick the library into writing attacker-controlled color data to an arbitrary memory location. This memory corruption can be exploited to cause a denial of service (application crash) or to achieve arbitrary code execution with the permissions of the user.",[],10,['CWE-123'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,8.8,HIGH,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-9900,0.00067,0.2137
3987,CVE-2025-11029,cna@vuldb.com,2025-09-26 17:15:34.027,2025-10-07 18:49:56.380,Analyzed,"[{'url': 'https://gist.github.com/KhanMarshaI/165ae8f63ec6b5fdf1f4123252499fce', 'source': 'cna@vuldb.com', 'tags': ['Exploit']}, {'url': 'https://gist.github.com/KhanMarshaI/db888b65cfd75bead2035348babfb423', 'source': 'cna@vuldb.com', 'tags': ['Exploit']}, {'url': 'https://vuldb.com/?ctiid.325967', 'source': 'cna@vuldb.com', 'tags': ['Permissions Required', 'VDB Entry']}, {'url': 'https://vuldb.com/?id.325967', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.657188', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.657190', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.657191', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.657192', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://gist.github.com/KhanMarshaI/165ae8f63ec6b5fdf1f4123252499fce', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit']}, {'url': 'https://gist.github.com/KhanMarshaI/db888b65cfd75bead2035348babfb423', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit']}]",,,,,"A weakness has been identified in givanz Vvveb up to 1.0.7.2. This vulnerability affects unknown code. Executing manipulation can lead to cross-site request forgery. The attack can be executed remotely. The exploit has been made available to the public and could be exploited. Once again the project maintainer reacted very professional: ""I accept the existence of these vulnerabilities. (...) I fixed the code to remove these vulnerabilities and will push the code to github and make a new release.""",['cpe:2.3:a:vvveb:vvveb:*:*:*:*:*:*:*:*'],10,"['CWE-352', 'CWE-862', 'CWE-352']",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,8.8,HIGH,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-11029,0.00016,0.02756
4011,CVE-2025-11047,cna@vuldb.com,2025-09-26 22:15:32.493,2025-10-07 18:30:26.743,Analyzed,"[{'url': 'https://github.com/marcelomulder/CVE/blob/main/i-educar/Broken_Object_Level_Authorization_allows_enumeration_of_student_records_via_.module.Api.aluno.md', 'source': 'cna@vuldb.com', 'tags': ['Broken Link']}, {'url': 'https://github.com/marcelomulder/CVE/blob/main/i-educar/CVE-2025-11047.md', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://vuldb.com/?ctiid.326084', 'source': 'cna@vuldb.com', 'tags': ['Permissions Required', 'VDB Entry']}, {'url': 'https://vuldb.com/?id.326084', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.659201', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://github.com/marcelomulder/CVE/blob/main/i-educar/CVE-2025-11047.md', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://vuldb.com/?submit.659201', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Third Party Advisory', 'VDB Entry']}]",,,,,A weakness has been identified in Portabilis i-Educar up to 2.10. Affected is an unknown function of the file /module/Api/aluno. This manipulation of the argument aluno_id causes improper authorization. The attack may be initiated remotely. The exploit has been made available to the public and could be exploited.,['cpe:2.3:a:portabilis:i-educar:*:*:*:*:*:*:*:*'],7,"['CWE-266', 'CWE-285']",3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.8,HIGH,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-11047,0.00036,0.09643
4012,CVE-2025-11048,cna@vuldb.com,2025-09-26 22:15:33.557,2025-10-07 18:30:59.987,Analyzed,"[{'url': 'https://github.com/marcelomulder/CVE/blob/main/i-educar/Broken%20Access%20Control%20%20in%20%60.consulta-dispensas%60%20Endpoint.md', 'source': 'cna@vuldb.com', 'tags': ['Broken Link']}, {'url': 'https://github.com/marcelomulder/CVE/blob/main/i-educar/CVE-2025-11048.md', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://vuldb.com/?ctiid.326085', 'source': 'cna@vuldb.com', 'tags': ['Permissions Required', 'VDB Entry']}, {'url': 'https://vuldb.com/?id.326085', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.659202', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://github.com/marcelomulder/CVE/blob/main/i-educar/CVE-2025-11048.md', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://vuldb.com/?submit.659202', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Third Party Advisory', 'VDB Entry']}]",,,,,A security vulnerability has been detected in Portabilis i-Educar up to 2.10. Affected by this vulnerability is an unknown functionality of the file /consulta-dispensas. Such manipulation leads to improper authorization. The attack may be launched remotely. The exploit has been disclosed publicly and may be used.,['cpe:2.3:a:portabilis:i-educar:*:*:*:*:*:*:*:*'],7,"['CWE-266', 'CWE-285']",3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.8,HIGH,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-11048,0.00036,0.09643
4066,CVE-2025-11083,cna@vuldb.com,2025-09-27 23:15:32.330,2025-10-03 16:52:47.010,Analyzed,"[{'url': 'https://sourceware.org/bugzilla/attachment.cgi?id=16353', 'source': 'cna@vuldb.com', 'tags': ['Broken Link']}, {'url': 'https://sourceware.org/bugzilla/show_bug.cgi?id=33457', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Issue Tracking']}, {'url': 'https://sourceware.org/bugzilla/show_bug.cgi?id=33457#c1', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Issue Tracking']}, {'url': 'https://sourceware.org/git/gitweb.cgi?p=binutils-gdb.git;h=9ca499644a21ceb3f946d1c179c38a83be084490', 'source': 'cna@vuldb.com', 'tags': ['Patch']}, {'url': 'https://vuldb.com/?ctiid.326124', 'source': 'cna@vuldb.com', 'tags': ['Permissions Required', 'VDB Entry']}, {'url': 'https://vuldb.com/?id.326124', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.661277', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://www.gnu.org/', 'source': 'cna@vuldb.com', 'tags': ['Product']}, {'url': 'https://sourceware.org/bugzilla/show_bug.cgi?id=33457', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit', 'Issue Tracking']}, {'url': 'https://sourceware.org/bugzilla/show_bug.cgi?id=33457#c1', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit', 'Issue Tracking']}]",,,,,"A vulnerability has been found in GNU Binutils 2.45. The affected element is the function elf_swap_shdr in the library bfd/elfcode.h of the component Linker. The manipulation leads to heap-based buffer overflow. The attack must be carried out locally. The exploit has been disclosed to the public and may be used. The identifier of the patch is 9ca499644a21ceb3f946d1c179c38a83be084490. To fix this issue, it is recommended to deploy a patch. The code maintainer replied with ""[f]ixed for 2.46"".",['cpe:2.3:a:gnu:binutils:2.45:*:*:*:*:*:*:*'],10,"['CWE-119', 'CWE-122']",3.1,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.8,HIGH,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-11083,0.00013,0.01505
4293,CVE-2025-7493,secalert@redhat.com,2025-09-30 15:15:58.243,2025-10-09 12:15:35.657,Awaiting Analysis,"[{'url': 'https://access.redhat.com/errata/RHSA-2025:17084', 'source': 'secalert@redhat.com'}, {'url': 'https://access.redhat.com/errata/RHSA-2025:17085', 'source': 'secalert@redhat.com'}, {'url': 'https://access.redhat.com/errata/RHSA-2025:17086', 'source': 'secalert@redhat.com'}, {'url': 'https://access.redhat.com/errata/RHSA-2025:17087', 'source': 'secalert@redhat.com'}, {'url': 'https://access.redhat.com/errata/RHSA-2025:17088', 'source': 'secalert@redhat.com'}, {'url': 'https://access.redhat.com/errata/RHSA-2025:17129', 'source': 'secalert@redhat.com'}, {'url': 'https://access.redhat.com/errata/RHSA-2025:17645', 'source': 'secalert@redhat.com'}, {'url': 'https://access.redhat.com/errata/RHSA-2025:17646', 'source': 'secalert@redhat.com'}, {'url': 'https://access.redhat.com/errata/RHSA-2025:17647', 'source': 'secalert@redhat.com'}, {'url': 'https://access.redhat.com/errata/RHSA-2025:17648', 'source': 'secalert@redhat.com'}, {'url': 'https://access.redhat.com/errata/RHSA-2025:17649', 'source': 'secalert@redhat.com'}, {'url': 'https://access.redhat.com/security/cve/CVE-2025-7493', 'source': 'secalert@redhat.com'}, {'url': 'https://bugzilla.redhat.com/show_bug.cgi?id=2389448', 'source': 'secalert@redhat.com'}]",,,,,"A privilege escalation flaw from host to domain administrator was found in FreeIPA. This vulnerability is similar to CVE-2025-4404, where it fails to validate the uniqueness of the krbCanonicalName. While the previously released version added validations for the admin@REALM credential, FreeIPA still does not validate the root@REALM canonical name, which can also be used as the realm administrator's name. This flaw allows an attacker to perform administrative tasks over the REALM, leading to access to sensitive data and sensitive data exfiltration.",[],13,['CWE-1220'],3.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H,9.1,CRITICAL,NETWORK,LOW,HIGH,NONE,CHANGED,HIGH,HIGH,HIGH,CVE-2025-7493,0.00053,0.16592
